ID,Title,Abstract
1,HierarchyMap: A Novel Approach to Treemap Visualization of Hierarchical Data,"The HierarchyMap describes a novel approach for Treemap Visualization method for representing large volume of hierarchical information on a 2-dimensional space. HierarchyMap algorithm is a new ordered treemap algorithm. Results of the implementation of HierarchyMap treemap algorithm show that it is capable of representing several thousands of hierarchical data on 2-dimensional space on a computer and Portable Device Application (PDA) screens while still maintaining the qualities found in existing treemap algorithms such as readability, low aspect ratio, reduced run time, and reduced number of thin rectangles. The HierarchyMap treemap algorithm is implemented in Java programming language and tested with dataset of Departmental and Faculty systems of Universities, Family trees, Plant and Animal taxonomy structures."
2,Trevis: A context tree visualization and analysis framework and its use for classifying performance failure reports,"When developers profile their applications to identify performance problems, they normally use profilers producing calling context trees. A calling context tree (CCT) represents the caller-callee relationships of a program. A dynamically collected CCT provides method coverage information. The CCTs produced by profilers also include method hotness information. Trevis, our context tree visualization and analysis framework, allows users to visualize, compare, cluster, and intersect CCTs produced by profilers. We evaluate Trevis in the context of a novel profiling tool called FlyBy. FlyBy runs transparently on an end-user's computer and continuously samples the applications' call stack. When the user perceives the application as sluggish, she presses a ""Was Slow!"" button to tell FlyBy to file a performance failure report. The report contains the CCT based on the call stack samples FlyBy gathered over the last few seconds before the user pressed the button. We show how Trevis allows us to visualize and classify FlyBy bug reports."
3,Navigation techniques for 2.5D graph layout,"In this paper, we consider the problem of navigating graphs drawn in 2.5 dimensions. First, we define criteria for good navigation and then present various methods to satisfy some of the criteria. In particular, we design and implement methods for trees, clustered graphs and hierarchical graphs drawn in 2.5 dimensions."
4,Efficient planar embedding of trees for VLSI layouts,"The use of planar polygonal partitioning schemes for planar embedding of tree structures is examined. Two layout designs based on recursive square and triangular decompositions are described for trees having branching factors of k*k and k*k-1, where k is an integer. The former design allocates the same amount of area to nodes at all levels and requires a total area linear in the number N of nodes in the tree. The latter design assigns increasing area to nodes closer to the root and requires a total area of O[N(k*k/(k*k-1))logN]. The longest interconnection has a length of O(sqrt(Area(N))) in each case."
5,The hype over Hyperbolic Browsers,"Considers complaints about the usability in the human-computer interaction aspect of information retrieval and discusses information visualization, the Online Library of Information Visualization Environments, hyperbolic information structure, subject searching, real-world applications, relational databases and hyperbolic trees, and the future of visual information structures."
6,Information Pyramidstexttrademark: A New Approach to Visualising Large Hierarchies,"This paper presents work in progress on a new technique for visualising and manipulating large hierarchies. The Information Pyramids approach compactly visualises hierarchical structures in three dimensions using pyramid-like structures, which grow upwards as the hierarchy is descended. The technique is described in the context of our early experience with a prototype file system visualiser based on Information Pyramids."
7,"Information Slices: Visualising and Exploring Large Hierarchies using Cascading, Semi-Circular Discs",This paper presents work in progress on a new technique for visualising and manipulating large hierarchies. The information slices approach compactly visualises hierarchical structures using a series of semi-circular discs. The technique is described in the context of our early experience with a prototype file system visualiser based on information slices.
8,The InfoSky visual explorer: Exploiting hierarchical structure and document similarities,"InfoSky is a system enabling users to explore large, hierarchically structured document collections. Similar to a real-world telescope, InfoSky employs a planar graphical representation with variable magnification. Documents of similar content are placed close to each other and are visualised as stars, forming clusters with distinct shapes. For greater performance, the hierarchical structure is exploited and force-directed placement is applied recursively at each level on much fewer objects, rather than on the whole corpus. Collections of documents at a particular level in the hierarchy are visualised with bounding polygons using a modified weighted Voronoi diagram. Their area is related to the number of documents contained. Textual labels are displayed dynamically during navigation, adjusting to the visualisation content. Navigation is animated and provides a seamless zooming transition between summary and detail view. Users can map metadata such as document size or age to attributes of the visualisation such as colour and luminance. Queries can be made and matching documents or collections are highlighted. Formative usability testing is ongoing; a small baseline experiment comparing the telescope browser to a tree browser is discussed."
9,Visual Exploration of Large Hierarchies with Information Pyramids,"Information pyramids compactly visualise large hierarchical structures in three dimensions using pyramid-like structures, which grow upwards as the hierarchy deepens. A plateau represents the root of the tree; other, smaller plateaus arranged on top of it represent its subtrees. Separate glyphs are used to represent leaf nodes such as files or documents and navigational facilities are provided for interactive exploration. Two generations of information pyramids prototype are described and discussed."
10,Visualising Large Hierarchically Structured Document Repositories with InfoSky,"InfoSky is an interactive system for the exploration of large, hierarchically structured document collections. InfoSky employs a planar graphical representation with variable magnification like a real-world telescope. The hierarchical structure is reflected using recursive subdivision into Voronoi polygons. At each level of the hierarchy documents and subcollections are positioned according to the similarity of their content using a force-directed placement technique. Documents are assumed to have significant textual content, which can be extracted with specialised tools. The hierarchical structure is exploited for greater performance. Force-directed placement is applied recursively at each level on the objects at that level rather than on the whole corpus."
11,The visualisation of large hierarchical document spaces with InfoSky,"It is no longer unusual for large document collections to contain many millions of documents. In order to manage this size of repository, it is often essential to structure the repository according to a thematic classification hierarchy. InfoSky is a system enabling users to explore such large, hierarchically structured document collections. Similar to a real-world telescope, InfoSky employs a planar graphical representation with variable magnification. The hierarchical structure is represented by recursive Voronoi subdivision of the available space. At each level, larger subcollections are assigned more space and related subcollections gravitate towards one another. Individual documents at each level of the hierarchy are represented by stars placed according to their similarity. Finally, InfoSky extracts and displays descriptors describing the essential theme of each subcollection at each level of the hierarchy."
